seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,logistic_glm,beta_1,P1,naive_ml,0.975,60,600,2000,0.01683737867076745,0.9695
0,logistic_glm,beta_1,P1,ppi,0.975,60,600,2000,2.3425730583553936,0.992
0,logistic_glm,beta_1,P1,ppi_plus_plus,0.975,60,600,2000,2.2063294138030995,0.984
0,logistic_glm,beta_1,P2,naive_ml,0.975,60,600,2000,0.010518088778940183,0.0545
0,logistic_glm,beta_1,P2,ppi,0.975,60,600,2000,2.366809877684798,0.992
0,logistic_glm,beta_1,P2,ppi_plus_plus,0.975,60,600,2000,2.210540656989844,0.983
0,logistic_glm,beta_1,P3,naive_ml,0.975,60,600,2000,0.00610347116252208,0.0
0,logistic_glm,beta_1,P3,ppi,0.975,60,600,2000,2.3744282924330777,0.9915
0,logistic_glm,beta_1,P3,ppi_plus_plus,0.975,60,600,2000,2.2109052575431796,0.984
0,logistic_glm,beta_1,P4,naive_ml,0.975,60,600,2000,0.16846363710710446,0.9695
0,logistic_glm,beta_1,P4,ppi,0.975,60,600,2000,2.444646155741979,0.994
0,logistic_glm,beta_1,P4,ppi_plus_plus,0.975,60,600,2000,2.22071437809281,0.9835
0,logistic_glm,beta_1,baseline,classic,0.975,60,600,2000,2.2927667794804125,0.9815
0,logistic_glm,beta_2,P1,naive_ml,0.9,60,600,2000,0.01358523097517999,0.8965
0,logistic_glm,beta_2,P1,ppi,0.9,60,600,2000,1.9031900526226166,0.92
0,logistic_glm,beta_2,P1,ppi_plus_plus,0.9,60,600,2000,1.8549780020920048,0.9155
0,logistic_glm,beta_2,P2,naive_ml,0.9,60,600,2000,0.006813216877602158,0.116
0,logistic_glm,beta_2,P2,ppi,0.9,60,600,2000,1.9209981587496028,0.919
0,logistic_glm,beta_2,P2,ppi_plus_plus,0.9,60,600,2000,1.8563664186761801,0.916
0,logistic_glm,beta_2,P3,naive_ml,0.9,60,600,2000,0.003974838636027109,0.0
0,logistic_glm,beta_2,P3,ppi,0.9,60,600,2000,1.913853211432365,0.925
0,logistic_glm,beta_2,P3,ppi_plus_plus,0.9,60,600,2000,1.853054865989773,0.916
0,logistic_glm,beta_2,P4,naive_ml,0.9,60,600,2000,0.1359049809947011,0.8965
0,logistic_glm,beta_2,P4,ppi,0.9,60,600,2000,1.9787402829857357,0.923
0,logistic_glm,beta_2,P4,ppi_plus_plus,0.9,60,600,2000,1.8549498781163942,0.9145
0,logistic_glm,beta_2,baseline,classic,0.9,60,600,2000,1.8834116991407817,0.9145
0,logistic_glm,beta_2,P1,naive_ml,0.95,60,600,2000,0.01618780114943098,0.947
0,logistic_glm,beta_2,P1,ppi,0.95,60,600,2000,2.2677908220858773,0.9705
0,logistic_glm,beta_2,P1,ppi_plus_plus,0.95,60,600,2000,2.210342620548364,0.9665
0,logistic_glm,beta_2,P2,naive_ml,0.95,60,600,2000,0.00811844864500801,0.1905
0,logistic_glm,beta_2,P2,ppi,0.95,60,600,2000,2.289010489337637,0.971
0,logistic_glm,beta_2,P2,ppi_plus_plus,0.95,60,600,2000,2.2119970209496733,0.9645
0,logistic_glm,beta_2,P3,naive_ml,0.95,60,600,2000,0.004736312364407925,0.0
0,logistic_glm,beta_2,P3,ppi,0.95,60,600,2000,2.2804967594933787,0.973
0,logistic_glm,beta_2,P3,ppi_plus_plus,0.95,60,600,2000,2.2080510625422383,0.9655
0,logistic_glm,beta_2,P4,naive_ml,0.95,60,600,2000,0.16194077315128366,0.948
0,logistic_glm,beta_2,P4,ppi,0.95,60,600,2000,2.3578144741052105,0.9715
