scenario,target,profile,method,confidence_level,seed0_average_ci_width,seed0_empirical_coverage,average_ci_width_median_seed1_29,average_ci_width_q25_seed1_29,average_ci_width_q75_seed1_29,average_ci_width_min_seed1_29,average_ci_width_max_seed1_29,empirical_coverage_median_seed1_29,empirical_coverage_q25_seed1_29,empirical_coverage_q75_seed1_29,empirical_coverage_min_seed1_29,empirical_coverage_max_seed1_29
logistic_glm,beta_0,P1,naive_ml,0.9,0.009499544884157421,0.8765,0.009498119571230822,0.009493464716631001,0.009503680497076498,0.009484017672790484,0.009510297775993867,0.8995,0.8915,0.901,0.8825,0.908
logistic_glm,beta_0,P1,naive_ml,0.95,0.011319405895695297,0.937,0.011317707530590308,0.011312160929227459,0.011324333782434012,0.01130090408218378,0.01133221875659903,0.949,0.9435,0.952,0.938,0.96
logistic_glm,beta_0,P1,naive_ml,0.975,0.012944802786992487,0.9715,0.012942860547130477,0.012936517488012191,0.012950438287881534,0.012923644227142667,0.012959455495718015,0.974,0.9705,0.976,0.964,0.98
logistic_glm,beta_0,P1,ppi,0.9,1.3333965603759004,0.9265,1.3368383768115515,1.333699360027621,1.3381546787002863,1.3290720529888922,1.3428180868141237,0.9205,0.917,0.926,0.911,0.934
logistic_glm,beta_0,P1,ppi,0.95,1.5888399992709228,0.973,1.592941176509277,1.5892008073101211,1.5945096469509192,1.583687030890923,1.6000664404543448,0.9695,0.967,0.9725,0.963,0.9775
logistic_glm,beta_0,P1,ppi,0.975,1.816987626397332,0.99,1.8216777073993071,1.8174002442462192,1.823471400525192,1.8110947235311077,1.8298261153125825,0.9905,0.9895,0.9925,0.984,0.994
logistic_glm,beta_0,P1,ppi_plus_plus,0.9,1.276379618606016,0.9085,1.2802220241387294,1.2777242533770286,1.2811785900529338,1.2753523997807619,1.28433109093353,0.909,0.904,0.9115,0.897,0.919
logistic_glm,beta_0,P1,ppi_plus_plus,0.95,1.5209001227089551,0.959,1.5254786312976312,1.522502353862152,1.5266184498869306,1.5196761159835253,1.5303748863782756,0.9575,0.954,0.962,0.9505,0.967
logistic_glm,beta_0,P1,ppi_plus_plus,0.975,1.7392920024775496,0.983,1.7445279566685314,1.7411243041450077,1.745831446179146,1.737892235933558,1.7501272837885056,0.9805,0.9795,0.982,0.975,0.985
logistic_glm,beta_0,P2,naive_ml,0.9,0.004896705916911979,0.0,0.004887224044168001,0.004885178088210218,0.004891434948561105,0.00488037961786916,0.004900820284887844,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P2,naive_ml,0.95,0.005834784981943452,0.0,0.005823486633701565,0.005821048726810969,0.005828504235765122,0.005815330996737447,0.005839687553770941,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P2,naive_ml,0.975,0.0066726241281344165,0.0,0.0066597034067504704,0.006656915431462489,0.006665441505531896,0.006650376670605871,0.006678230679047132,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P2,ppi,0.9,1.3357774089416246,0.924,1.3398447577764816,1.3370465166739385,1.3411924382844536,1.3330155882764887,1.3455063374029044,0.9195,0.916,0.9255,0.9045,0.9315
logistic_glm,beta_0,P2,ppi,0.95,1.5916769553167371,0.9715,1.596523500382062,1.593189190452489,1.5981293607546863,1.5883860430150438,1.6032696886030502,0.97,0.9655,0.9725,0.9615,0.976
logistic_glm,beta_0,P2,ppi,0.975,1.8202319518386865,0.9905,1.8257744308916515,1.8219613346155084,1.8276108829120736,1.816468484822195,1.8334893301442603,0.99,0.9885,0.991,0.982,0.9935
logistic_glm,beta_0,P2,ppi_plus_plus,0.9,1.2827099385187628,0.9085,1.2859602960206307,1.283611758484382,1.2876303282595674,1.281346843579435,1.2906978081230458,0.9075,0.9025,0.911,0.894,0.9195
logistic_glm,beta_0,P2,ppi_plus_plus,0.95,1.528443164129969,0.9595,1.5323162039774987,1.529517748897996,1.534306170128714,1.5268189363295002,1.5379612978295638,0.957,0.9535,0.961,0.9505,0.964
logistic_glm,beta_0,P2,ppi_plus_plus,0.975,1.7479181781363153,0.9825,1.752347362624835,1.7491470666511566,1.7546230756452526,1.7460607212386714,1.7588030571464763,0.98,0.979,0.9815,0.9725,0.984
logistic_glm,beta_0,P3,naive_ml,0.9,0.0028158673499703566,0.0,0.0028124838411792063,0.002810391255863929,0.002813336359899613,0.002808066731257744,0.0028179971584556115,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,naive_ml,0.95,0.0033553128988218356,0.0,0.003351281199427198,0.00334878773023012,0.0033522970381381894,0.003346017888321602,0.003357850722161645,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,naive_ml,0.975,0.003837115142272464,0.0,0.003832504515704169,0.003829652999705098,0.0038336662225903952,0.003826485425577327,0.0038400173813956853,0.0,0.0,0.0,0.0,0.0
logistic_glm,beta_0,P3,ppi,0.9,1.3432655114462768,0.923,1.3474743236619648,1.344323943783361,1.3492875427036022,1.3374395529366503,1.3559395759616049,0.921,0.917,0.9265,0.9125,0.934
logistic_glm,beta_0,P3,ppi,0.95,1.6005995797868904,0.976,1.605614688867289,1.601860779705703,1.6077752726173902,1.593657522045589,1.6157016591334998,0.97,0.9685,0.9735,0.9645,0.9785
logistic_glm,beta_0,P3,ppi,0.975,1.8304358101659597,0.9905,1.8361710579871946,1.8318781106165662,1.8386418882416817,1.822496915737653,1.847706454987494,0.9905,0.9885,0.992,0.9865,0.994
logistic_glm,beta_0,P3,ppi_plus_plus,0.9,1.2780164846841096,0.9065,1.281649728849926,1.2794496075212043,1.2827925610932702,1.2768524031566584,1.2864208447269834,0.9075,0.902,0.912,0.895,0.9185
logistic_glm,beta_0,P3,ppi_plus_plus,0.95,1.5228505689419871,0.96,1.5271798463897555,1.5245582401293203,1.528541614999809,1.5214634802482108,1.5328649816090096,0.958,0.954,0.961,0.951,0.968
logistic_glm,beta_0,P3,ppi_plus_plus,0.975,1.7415225207632177,0.983,1.7464734557582162,1.7434754030035768,1.748030765944025,1.7399362546857862,1.7529749413404776,0.981,0.979,0.9825,0.976,0.985
logistic_glm,beta_0,P4,naive_ml,0.9,0.0950300510659213,0.877,0.09500777046197799,0.0949698368756725,0.09506729469993366,0.09486814131737581,0.09513171677355275,0.8995,0.8915,0.9015,0.8825,0.907
logistic_glm,beta_0,P4,naive_ml,0.95,0.1132352900503427,0.9375,0.11320874107323761,0.11316354041723699,0.11327966857747816,0.11304236268544186,0.11335643221287636,0.9485,0.9435,0.9515,0.9385,0.96
logistic_glm,beta_0,P4,naive_ml,0.975,0.12949517949409484,0.9725,0.12946481824757827,0.1294131270560821,0.12954593050408933,0.12927454894918192,0.12963371692420697,0.974,0.9705,0.976,0.9645,0.98
logistic_glm,beta_0,P4,ppi,0.9,1.386961642095735,0.932,1.3882520741928899,1.3837849981477583,1.3904145821188287,1.3775788476404152,1.397718638014358,0.926,0.922,0.9295,0.912,0.9385
logistic_glm,beta_0,P4,ppi,0.95,1.6526667308898357,0.976,1.6542043755735163,1.6488815261593155,1.6567811627001492,1.6414864417106338,1.6654844821090833,0.9735,0.9715,0.976,0.9665,0.98
logistic_glm,beta_0,P4,ppi,0.975,1.8899794831218322,0.992,1.8917379241009953,1.8856507463315453,1.8946847219705731,1.877193773354034,1.9046377843820583,0.9925,0.991,0.9935,0.9885,0.996
logistic_glm,beta_0,P4,ppi_plus_plus,0.9,1.2835704953776987,0.9105,1.2872306760173717,1.2841884494306588,1.2879750646101051,1.2823481511619426,1.2921557525063925,0.9085,0.9045,0.914,0.897,0.922
logistic_glm,beta_0,P4,ppi_plus_plus,0.95,1.5294685808737616,0.961,1.5338299551098153,1.5302049185442115,1.534716948826675,1.528012067904866,1.5396985457135142,0.957,0.954,0.9615,0.95,0.965
logistic_glm,beta_0,P4,ppi_plus_plus,0.975,1.7490908384018111,0.98,1.75407847908598,1.7499329096214857,1.7550928396313867,1.7474251791514226,1.760789763114708,0.981,0.9805,0.983,0.9745,0.987
logistic_glm,beta_0,baseline,classic,0.9,1.3182137251536048,0.9055,1.3212308178109358,1.3198692193911692,1.3234934647949246,1.314906497774623,1.330325552995347,0.9045,0.899,0.9085,0.893,0.9185
logistic_glm,beta_0,baseline,classic,0.95,1.570748535245604,0.9575,1.5743436228871448,1.5727211782997217,1.5770397330611288,1.5668077307598558,1.585180668274217,0.9555,0.9525,0.9595,0.948,0.9655
logistic_glm,beta_0,baseline,classic,0.975,1.7962983396897352,0.98,1.8004096597493318,1.798554242123127,1.803492914720112,1.7917916599787889,1.8128028380328922,0.979,0.9785,0.9815,0.9725,0.984
logistic_glm,beta_1,P1,naive_ml,0.9,0.012356112105101574,0.887,0.012360039865615464,0.012355626703679071,0.012364126376614031,0.012347600401320822,0.01237933309581963,0.8975,0.895,0.904,0.8865,0.908
logistic_glm,beta_1,P1,naive_ml,0.95,0.014723215682007325,0.941,0.014727895897329184,0.014722637290537926,0.01473276527552091,0.014713073361387372,0.014750885199067662,0.9495,0.946,0.952,0.94,0.9585
