experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.5,1623403.093425644,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.525,1612721.6432947768,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.55,1603414.675698433,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.575,1595481.431935021,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.6,1588921.1560482527,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.625,1583733.0948336616,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.65,1579916.4978421854,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.675,1577470.6173835814,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.7,1576394.708529132,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.725,1576688.0291196946,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.75,1578349.839765524,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.775,1581379.4038539878,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.8,1585775.987550797,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.825,1591538.8598060976,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.85,1598667.2923588636,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.875,1607160.559739489,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.9,1617017.939274828,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.925,1628238.7110938104,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.95,1640822.158130499,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.975,1654767.5661278681,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,1.0,1670074.2236433723,,
b_lr,0,dt,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.525177352363244e-06,,
b_lr,0,dt,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.7680577002465725e-09,,
b_lr,0,dt,cross_ppi,fold_tuning,,4325206408.785659,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4219419856.286431,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,3975030985.8489547,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4213482789.5649004,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4348149032.771904,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
b_lr,0,dt,cross_ppi,cross_oof_quality,,4309374887.119411,,MSE
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.0,2126865.98580635,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.025,2090560.2677224786,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.05,2055256.7526144893,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.075,2020954.9550812333,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.1,1987654.391387857,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.125,1955354.579467747,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.15,1924055.038923729,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.175,1893755.2910339325,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.2,1864454.858752429,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.225,1836153.2667114362,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.25,1808850.041226836,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.275,1782544.7102988707,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.3,1757236.8036153403,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.325,1732925.8525560657,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.35,1709611.3901936193,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.375,1687292.9512975798,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.4,1665970.072337856,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.425,1645642.2914862325,,
