experiment,learner,learner_label,parameter,lambda_median,lambda_q25,lambda_q75,lambda_equal_1_rate,lambda_below_1_rate,v2_to_ppi_width_ratio_median,v2_to_ppi_width_ratio_q25,v2_to_ppi_width_ratio_q75,ppi_coverage_95,v2_coverage_95,coverage_difference,ppi_avg_width_95,v2_avg_width_95
a_mean,dt,DT,smooth_proportion,0.825,0.8,0.85,0.0,1.0,0.9914986667332586,0.988837639390435,0.9944979941096814,0.95,0.95,0.0,0.010191193428138129,0.01009377137538801
a_mean,gb,GB,smooth_proportion,0.9125000000000001,0.9,0.925,0.0,1.0,0.9981237368241337,0.9968834222391266,0.9987835506392229,0.95,0.95,0.0,0.009910897636558988,0.00988855323375521
a_mean,lin,LIN,smooth_proportion,0.925,0.9,0.93125,0.0,1.0,0.9982613063161873,0.9973296648946206,0.9991261605015891,0.95,0.95,0.0,0.009898439989541064,0.00987948656773378
a_mean,rf,RF,smooth_proportion,0.925,0.925,0.95,0.0,1.0,0.9989783286892259,0.9983882341668808,0.9993789954246036,0.95,0.95,0.0,0.009924793899594744,0.00991168197529512
