experiment,replicate,target,parameter,learner,learner_label,learner_model,method,method_label,confidence_level,estimate,truth,ci_low,ci_high,ci_width,covered,quality_metric,quality_value,selected_lambda,lambda_source,backend,package_version,status,warning,tuned_params,validation_score,n_total,n_labelled,n_unlabelled,n_train,n_inference,relative_width_rep
a_mean,0,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,ppi_plus_plus_v2,PPI++V2,0.95,0.22469156695336845,0.22373850101170237,0.2195996766355174,0.2297834572712195,0.010183780635702078,True,Brier,0.12660272297333197,0.8,internal_grid_trace,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1270887984161822,239695,23970,215725,4794,19176,0.9608174616730882
a_mean,0,smooth_proportion,smooth_proportion,dt,DT,Decision Tree Classifier,ppi_plus_plus_v2,PPI++V2,0.975,0.22469156695336845,0.22373850101170237,0.21886851258241027,0.23051462132432662,0.01164610874191635,True,Brier,0.12660272297333197,0.8,internal_grid_trace,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1270887984161822,239695,23970,215725,4794,19176,0.9608174616730906
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,cross_ppi,Cross-PPI,0.9,0.22553894248328452,0.22373850101170237,0.2218341973939619,0.22924368757260713,0.007409490178645228,True,Brier,0.1201277014887774,,,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.8329923488439087
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,cross_ppi,Cross-PPI,0.95,0.22553894248328452,0.22373850101170237,0.2211244664302198,0.22995341853634924,0.00882895210612944,True,Brier,0.1201277014887774,,,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.8329923488439055
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,cross_ppi,Cross-PPI,0.975,0.22553894248328452,0.22373850101170237,0.22049057488860754,0.2305873100779615,0.010096735189353945,True,Brier,0.1201277014887774,,,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.8329923488439044
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,naive_ml,Naive ML,0.9,0.2269155189287319,0.22373850101170237,0.22605018075182512,0.2277808571056387,0.001730676353813576,False,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.1945667146177898
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,naive_ml,Naive ML,0.95,0.2269155189287319,0.22373850101170237,0.2258844048931759,0.2279466329642879,0.0020622280711120045,False,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.19456671461779027
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,naive_ml,Naive ML,0.975,0.2269155189287319,0.22373850101170237,0.22573634327550718,0.22809469458195664,0.0023583513064494577,False,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.19456671461778977
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi,PPI,0.9,0.22419495570597375,0.22373850101170237,0.219988118741031,0.2284017926709165,0.008413673929885512,True,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9458850528557623
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi,PPI,0.95,0.22419495570597375,0.22373850101170237,0.2191822002820148,0.2292077111299327,0.010025510847917918,True,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.945885052855758
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi,PPI,0.975,0.22419495570597375,0.22373850101170237,0.21846239951172572,0.2299275119002218,0.011465112388496068,True,Brier,0.1201277014887774,,,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9458850528557619
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v1,PPI++V1,0.9,0.22446941786595254,0.22373850101170237,0.22027814313863436,0.2286606925932707,0.008382549454636345,True,Brier,0.1201277014887774,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.942385965992936
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v1,PPI++V1,0.95,0.22446941786595254,0.22373850101170237,0.21947520599186526,0.2294636297400398,0.009988423748174546,True,Brier,0.1201277014887774,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9423859659929363
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v1,PPI++V1,0.975,0.22446941786595254,0.22373850101170237,0.21875806796099848,0.2301807677709066,0.011422699809908121,True,Brier,0.1201277014887774,,package_internal_not_exposed,ppi-python,0.2.3,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9423859659929359
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v2,PPI++V2,0.9,0.22449375061485888,0.22373850101170237,0.22030234352254904,0.2286851577071687,0.008382814184619669,True,Brier,0.1201277014887774,0.875,internal_grid_trace,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9424157275615866
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v2,PPI++V2,0.95,0.22449375061485888,0.22373850101170237,0.21949938101815591,0.22948812021156184,0.009988739193405927,True,Brier,0.1201277014887774,0.875,internal_grid_trace,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9424157275615869
a_mean,0,smooth_proportion,smooth_proportion,gb,GB,Histogram Gradient Boosting Classifier,ppi_plus_plus_v2,PPI++V2,0.975,0.22449375061485888,0.22373850101170237,0.21878222033929404,0.23020528089042372,0.011423060551129682,True,Brier,0.1201277014887774,0.875,internal_grid_trace,internal,,ok,,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,239695,23970,215725,4794,19176,0.9424157275615853
a_mean,0,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,cross_ppi,Cross-PPI,0.9,0.22506485863359424,0.22373850101170237,0.22131607945303486,0.22881363781415362,0.007497558361118761,True,Brier,0.11915602446267817,,,ppi-python,0.2.3,ok,,"{""model__C"": 10.0}",0.12098430728024666,239695,23970,215725,4794,19176,0.8428931814799344
a_mean,0,smooth_proportion,smooth_proportion,lin,LIN,Logistic Regression,cross_ppi,Cross-PPI,0.95,0.22506485863359424,0.22373850101170237,0.22059791272454848,0.22953180454264,0.00893389181809151,True,Brier,0.11915602446267817,,,ppi-python,0.2.3,ok,,"{""model__C"": 10.0}",0.12098430728024666,239695,23970,215725,4794,19176,0.8428931814799328
