scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.9,0.895,0.895,0.895,0.895,0.895,0.007166864427847399,0.007166864427847399,0.007166864427847399,0.007166864427847399,0.007166864427847399,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.95,0.96,0.96,0.96,0.96,0.96,0.007166864427847404,0.007166864427847404,0.007166864427847404,0.007166864427847404,0.007166864427847404,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_0,P1,naive_ml,Naive ML,0.975,0.98,0.98,0.98,0.98,0.98,0.0071668644278474036,0.0071668644278474036,0.0071668644278474036,0.0071668644278474036,0.0071668644278474036,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P1,ppi,PPI,0.9,0.9,0.9,0.9,0.9,0.9,1.010544504474222,1.010544504474222,1.010544504474222,1.010544504474222,1.010544504474222,0.0,0.0,0.0,0.0,0.0,1,200
logistic_glm,beta_0,P1,ppi,PPI,0.95,0.975,0.975,0.975,0.975,0.975,1.0105445044742238,1.0105445044742238,1.0105445044742238,1.0105445044742238,1.0105445044742238,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_0,P1,ppi,PPI,0.975,0.99,0.99,0.99,0.99,0.99,1.010544504474222,1.010544504474222,1.010544504474222,1.010544504474222,1.010544504474222,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.9,0.87,0.87,0.87,0.87,0.87,0.9902889384704655,0.9902889384704655,0.9902889384704655,0.9902889384704655,0.9902889384704655,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.95,0.945,0.945,0.945,0.945,0.945,0.9902889384704666,0.9902889384704666,0.9902889384704666,0.9902889384704666,0.9902889384704666,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v1,PPI++V1,0.975,0.975,0.975,0.975,0.975,0.975,0.9902889384704651,0.9902889384704651,0.9902889384704651,0.9902889384704651,0.9902889384704651,0.0,0.0,0.0,0.0,0.0,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v2,PPI++V2,0.9,0.885,0.885,0.885,0.885,0.885,0.9683630895080354,0.9683630895080354,0.9683630895080354,0.9683630895080354,0.9683630895080354,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v2,PPI++V2,0.95,0.945,0.945,0.945,0.945,0.945,0.9683630895080344,0.9683630895080344,0.9683630895080344,0.9683630895080344,0.9683630895080344,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_0,P1,ppi_plus_plus_v2,PPI++V2,0.975,0.98,0.98,0.98,0.98,0.98,0.9683630895080345,0.9683630895080345,0.9683630895080345,0.9683630895080345,0.9683630895080345,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_0,P2,naive_ml,Naive ML,0.9,0.0,0.0,0.0,0.0,0.0,0.003701691704247196,0.003701691704247196,0.003701691704247196,0.003701691704247196,0.003701691704247196,-0.9,-0.9,-0.9,-0.9,-0.9,1,200
logistic_glm,beta_0,P2,naive_ml,Naive ML,0.95,0.0,0.0,0.0,0.0,0.0,0.0037016917042471996,0.0037016917042471996,0.0037016917042471996,0.0037016917042471996,0.0037016917042471996,-0.95,-0.95,-0.95,-0.95,-0.95,1,200
