experiment,learner,learner_label,parameter,lambda_median,lambda_q25,lambda_q75,lambda_equal_1_rate,lambda_below_1_rate,v2_to_ppi_width_ratio_median,v2_to_ppi_width_ratio_q25,v2_to_ppi_width_ratio_q75,ppi_coverage_95,v2_coverage_95,coverage_difference,ppi_avg_width_95,v2_avg_width_95
a_mean,dt,DT,smooth_proportion,0.825,0.825,0.85,0.0,1.0,0.9930017168283937,0.9908394572311383,0.9950627226982373,0.99,0.99,0.0,0.010171152862320287,0.010096274645034563
a_mean,gb,GB,smooth_proportion,0.9,0.9,0.925,0.0,1.0,0.9980501633162515,0.9973412801935415,0.9986570427090018,0.99,0.98,-0.010000000000000009,0.0099200181340635,0.009899437414907775
a_mean,lin,LIN,smooth_proportion,0.925,0.9,0.925,0.0,1.0,0.9984966629161636,0.9978389585487549,0.9990768019311957,0.99,0.99,0.0,0.009903362351969395,0.009887095949940314
a_mean,rf,RF,smooth_proportion,0.925,0.925,0.95,0.0,1.0,0.9989917981355538,0.9983843221941857,0.9993571889369546,0.99,0.99,0.0,0.009933642066028932,0.009921714477929323
