experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
c_glm,0,dt,DT,Decision Tree Classifier,Brier,0.12119996958872936,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.13379036007593986,990,3963
c_glm,0,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11003973741010237,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.10169076486972697,990,3963
c_glm,0,lin,LIN,Logistic Regression,Brier,0.11057139299381585,"{""model__C"": 10.0}",0.09776135289506624,990,3963
c_glm,0,rf,RF,Random Forest Classifier,Brier,0.11539606669947106,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12154940402421127,990,3963
c_glm,1,dt,DT,Decision Tree Classifier,Brier,0.11392500130436116,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.1398244741487623,990,3963
c_glm,1,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10700471178677971,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12371333714326337,990,3963
c_glm,1,lin,LIN,Logistic Regression,Brier,0.10855864102044885,"{""model__C"": 1.0}",0.11029236052975806,990,3963
c_glm,1,rf,RF,Random Forest Classifier,Brier,0.11896491770759801,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.13292410505028995,990,3963
c_glm,2,dt,DT,Decision Tree Classifier,Brier,0.12687402558543384,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12626957718948653,990,3963
c_glm,2,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10569919759557309,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12162733219564509,990,3963
c_glm,2,lin,LIN,Logistic Regression,Brier,0.10654221706259066,"{""model__C"": 0.1}",0.11514489638173554,990,3963
c_glm,2,rf,RF,Random Forest Classifier,Brier,0.11389089377688356,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.114741007051511,990,3963
c_glm,3,dt,DT,Decision Tree Classifier,Brier,0.12110800787531041,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.12069630307771488,990,3963
