experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.7,1400736.8763738775,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.725,1392278.325583124,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.75,1384787.9744577892,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.775,1378265.468043121,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.8,1372710.4587586974,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.825,1368122.6063773881,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.85,1364501.5780039656,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.875,1361847.0480501647,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.9,1360158.6982176197,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.925,1359436.2174747428,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.95,1359679.3020350859,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,0.975,1360887.6553370212,,
b_lr,5,rf,ppi_plus_plus_v2,lambda_grid,1.0,1363060.9880240797,,
b_lr,5,rf,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,6.801117706345394e-06,,
b_lr,5,rf,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,3.7834979593753815e-10,,
b_lr,5,rf,cross_ppi,fold_tuning,,3657443154.6194053,0.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,5,rf,cross_ppi,fold_tuning,,4073960320.806671,1.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,5,rf,cross_ppi,fold_tuning,,3836038161.467574,2.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,5,rf,cross_ppi,fold_tuning,,3930308672.7618155,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,5,rf,cross_ppi,fold_tuning,,3642136904.062795,4.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,5,rf,cross_ppi,cross_oof_quality,,3970987749.5350842,,MSE
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.0,2032343.2016309625,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.025,1994632.4447591547,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.05,1957972.393028759,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.075,1922362.3643258486,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.1,1887801.6851223307,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.125,1854289.6904451633,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.15,1821825.7238501683,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.175,1790409.1373954345,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.2,1760039.291618308,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.225,1730715.5555029297,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.25,1702437.3064608155,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.275,1675203.930301853,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.3,1649014.8212106437,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.325,1623869.3817196041,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.35,1599767.0226871045,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.375,1576707.1632700977,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.4,1554689.230900873,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.425,1533712.661263568,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.45,1513776.8982686708,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.475,1494881.3940307037,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.5,1477025.6088455566,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.525,1460209.0111630599,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.55,1444431.077570672,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.575,1429691.2927637603,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.6,1415989.1495284843,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.625,1403324.148715686,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.65,1391695.799220726,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.675,1381103.6179614344,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.7,1371547.1298556132,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.725,1363025.8677995894,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.75,1355539.3726476636,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.775,1349087.1931906277,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.8,1343668.8861341393,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.825,1339284.01607914,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.85,1335932.1555020213,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.875,1333612.8847307714,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.9,1332325.7919292315,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.925,1332070.4730755314,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.95,1332846.531941492,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,0.975,1334653.5800739592,,
b_lr,5,gb,ppi_plus_plus_v2,lambda_grid,1.0,1337491.2367760222,,
