experiment,replicate,target,parameter,learner,learner_label,learner_model,method,method_label,confidence_level,estimate,truth,ci_low,ci_high,ci_width,covered,quality_metric,quality_value,selected_lambda,lambda_source,backend,package_version,status,warning,tuned_params,validation_score,n_total,n_labelled,n_unlabelled,n_train,n_inference,relative_width_rep
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.95,24424.205952030083,24977.364721462392,24043.68041847056,24804.731485589604,761.0510671190423,False,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.21584069342278614
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.975,24424.205952030083,24977.364721462392,23989.039298167416,24859.37260589275,870.3333077253337,False,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.21584069342278533
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.9,15107.112728432054,13291.613243404692,14742.636434838718,15471.58902202539,728.9525871866717,False,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.23398344561283915
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.95,15107.112728432054,13291.613243404692,14672.81243753896,15541.413019325148,868.6005817861878,False,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.2339834456128392
b_lr,0,income_on_age_sex,intercept,dt,DT,Decision Tree Regressor,naive_ml,Naive ML,0.975,15107.112728432054,13291.613243404692,14610.449593657237,15603.77586320687,993.3262695496342,False,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.23398344561283965
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi,PPI,0.9,565.2182727546275,547.9069413412143,534.1590606809267,596.2774848283283,62.11842414740158,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,1.002474350008254
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi,PPI,0.95,565.2182727546275,547.9069413412143,528.208938881273,602.227606627982,74.01866774670907,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,1.0024743500082545
b_lr,0,income_on_age_sex,AGEP,dt,DT,Decision Tree Regressor,ppi,PPI,0.975,565.2182727546275,547.9069413412143,522.89462673618,607.5419187730749,84.6472920368949,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,1.002474350008256
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi,PPI,0.9,24727.40495608595,24977.364721462392,23256.183377623616,26198.626534548283,2942.4431569246663,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.99437098700264
b_lr,0,income_on_age_sex,SEX_MALE,dt,DT,Decision Tree Regressor,ppi,PPI,0.95,24727.40495608595,24977.364721462392,22974.336318356392,26480.473593815506,3506.137275459114,True,MSE,4673816038.135477,,,internal,,ok,,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",5161578031.314678,318215,31822,286393,6364,25458,0.9943709870026384
