experiment,learner,learner_label,parameter,lambda_median,lambda_q25,lambda_q75,lambda_equal_1_rate,lambda_below_1_rate,v2_to_ppi_width_ratio_median,v2_to_ppi_width_ratio_q25,v2_to_ppi_width_ratio_q75,ppi_coverage_95,v2_coverage_95,coverage_difference,ppi_avg_width_95,v2_avg_width_95
b_lr,dt,DT,AGEP,0.8,0.775,0.8312499999999999,0.0,1.0,0.9914171597462492,0.9886836246874225,0.9939018906509727,1.0,1.0,0.0,70.85581813389723,70.09316553782129
b_lr,dt,DT,SEX_MALE,0.8,0.775,0.8312499999999999,0.0,1.0,0.9905427171510073,0.9873980416945805,0.994118376246942,1.0,1.0,0.0,3397.2605792328345,3361.2528912497846
b_lr,gb,GB,AGEP,0.875,0.85,0.9,0.0,1.0,0.9955982506638259,0.9934638838074407,0.9970616296477849,1.0,1.0,0.0,68.62070364167339,68.24394114073615
b_lr,gb,GB,SEX_MALE,0.875,0.85,0.9,0.0,1.0,0.995769934790349,0.9937313860671821,0.998108607876291,1.0,1.0,0.0,3265.099093526167,3249.4741667056073
b_lr,lin,LIN,AGEP,0.775,0.75,0.8,0.0,1.0,0.9862233054257341,0.9827089337779548,0.9896822554212391,1.0,1.0,0.0,72.27557966470485,71.26923399693257
b_lr,lin,LIN,SEX_MALE,0.775,0.75,0.8,0.0,1.0,1.0008551664159309,0.999993795790822,1.0020698573475215,1.0,1.0,0.0,3388.9056833990953,3391.708659361548
b_lr,rf,RF,AGEP,0.925,0.9,0.925,0.0,1.0,0.9982646407287559,0.9975140469692216,0.9992863281321733,1.0,1.0,0.0,68.44425609298763,68.30265654089843
b_lr,rf,RF,SEX_MALE,0.925,0.9,0.925,0.0,1.0,0.998968377073371,0.9976569032732175,0.9996710483384624,0.95,1.0,0.050000000000000044,3268.257370598684,3263.8556616769492
