experiment,learner,learner_label,parameter,lambda_median,lambda_q25,lambda_q75,lambda_equal_1_rate,lambda_below_1_rate,v2_to_ppi_width_ratio_median,v2_to_ppi_width_ratio_q25,v2_to_ppi_width_ratio_q75,ppi_coverage_95,v2_coverage_95,coverage_difference,ppi_avg_width_95,v2_avg_width_95
c_glm,dt,DT,age,0.55,0.475,0.625,0.0,1.0,0.9654995838051417,0.9543601732899892,0.9766797285972045,0.96,0.97,0.010000000000000009,0.011134485729332615,0.0107229184748546
c_glm,dt,DT,education-num,0.55,0.475,0.625,0.0,1.0,0.9379032317246588,0.9216754760115721,0.9582751159408168,0.97,0.98,0.010000000000000009,0.07425800655683058,0.06951438524663778
c_glm,dt,DT,hours-per-week,0.55,0.475,0.625,0.0,1.0,0.9662450268387689,0.941755953884163,0.9832799446886289,0.96,0.96,0.0,0.01388358980765906,0.01335020534666699
c_glm,gb,GB,age,0.7625,0.7,0.825,0.0,1.0,0.9849507171148524,0.9770110972049136,0.9924159843755777,0.98,0.98,0.0,0.010291246335411777,0.010118683539455412
c_glm,gb,GB,education-num,0.7625,0.7,0.825,0.0,1.0,0.9814024808771576,0.9730588468486654,0.9897427196043387,0.97,0.96,-0.010000000000000009,0.06787070412319861,0.06643834642249687
c_glm,gb,GB,hours-per-week,0.7625,0.7,0.825,0.0,1.0,0.9858473854045111,0.9715442538573273,0.9971023959193556,0.93,0.95,0.019999999999999907,0.01286396189222543,0.01263984274859726
c_glm,lin,LIN,age,0.875,0.75,0.95,0.23,0.77,0.9969110905284733,0.9888205412594656,1.000000000000141,0.98,0.98,0.0,0.010509626853554312,0.010442005578261361
c_glm,lin,LIN,education-num,0.875,0.75,0.95,0.23,0.77,0.9972630150748203,0.9870468410868651,0.9999999999998106,0.96,0.97,0.010000000000000009,0.06753597348133952,0.06695531593457554
c_glm,lin,LIN,hours-per-week,0.875,0.75,0.95,0.23,0.77,0.9997435964757699,0.9902869400437659,1.0000000000003295,0.94,0.95,0.010000000000000009,0.013180727377413487,0.013094227485886905
c_glm,rf,RF,age,0.725,0.64375,0.825,0.04,0.96,0.998896826862231,0.9927870177104634,1.0023858887050408,0.97,0.97,0.0,0.01068683383904516,0.010656610880918778
c_glm,rf,RF,education-num,0.725,0.64375,0.825,0.04,0.96,0.9869607901444271,0.9777492514096494,0.9943664075104277,0.97,0.97,0.0,0.07076558699583367,0.06955275411603078
c_glm,rf,RF,hours-per-week,0.725,0.64375,0.825,0.04,0.96,0.9970486468941662,0.9846192014801554,1.0073532466412125,0.97,0.97,0.0,0.013302804716486977,0.013204290872234327
