experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.9,0.93,0.007924838248966311,0.0021247512898217567,0.002174724609603801,0.12093936754565641,0.006206406232277048,0.8772737548450656,0.02967260814712806,0.8807732283532073,0.8576605082132394,0.8970845777314216,,100,0.030000000000000027,0,0.00903687844523377,0.8769442122070402
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.96,0.009443027207269966,0.0021212039772704615,0.002180717015753961,0.12093936754565641,0.006206406232277048,0.8772737548450656,0.02967260814712804,0.8807732283532066,0.8576605082132391,0.8970845777314213,,100,0.010000000000000009,0,0.010768104830185634,0.8769442122070403
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.975,0.97,0.01079898768863836,0.0021182232513683695,0.0021862417710714925,0.12093936754565641,0.006206406232277048,0.8772737548450656,0.029672608147128077,0.880773228353207,0.8576605082132389,0.8970845777314213,,100,-0.0050000000000000044,0,0.012314338287791557,0.8769442122070402
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.9,0.06,0.0017496262408768664,0.007483038989271654,0.007599233284762891,0.12093936754565641,0.006206406232277048,0.19372699433139423,0.02233612091455237,0.19091530451230737,0.1795354565493691,0.2106880419300301,,100,-0.8400000000000001,0,0.00903687844523377,0.1936095800646355
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.95,0.07,0.002084808254264214,0.0074720832390628615,0.007610534114079918,0.12093936754565641,0.006206406232277048,0.1937269943313942,0.022336120914552372,0.19091530451230718,0.17953545654936898,0.21068804193003007,,100,-0.8799999999999999,0,0.010768104830185634,0.1936095800646355
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.975,0.08,0.0023841738646731853,0.007462324387927343,0.007620652184057716,0.12093936754565641,0.006206406232277048,0.19372699433139418,0.0223361209145524,0.19091530451230682,0.1795354565493687,0.21068804193003043,,100,-0.895,0,0.012314338287791557,0.19360958006463544
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.9,0.94,0.009344354988456616,0.0026474650493270168,0.0027595267036106463,0.12093936754565641,0.006206406232277048,1.034288102182441,0.043134816069389056,1.0371802930959446,1.0048700768669496,1.057510744000327,,100,0.039999999999999925,0,0.00903687844523377,1.0340246408188676
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.95,0.96,0.011134485729332615,0.002639424044519917,0.0027728240581277805,0.12093936754565641,0.006206406232277048,1.034288102182441,0.04313481606938911,1.037180293095945,1.0048700768669492,1.0575107440003273,,100,0.010000000000000009,0,0.010768104830185634,1.0340246408188676
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.975,0.97,0.012733329224955695,0.002632657399672088,0.002785058856999978,0.12093936754565641,0.006206406232277048,1.034288102182441,0.04313481606938913,1.037180293095945,1.0048700768669494,1.0575107440003264,,100,-0.0050000000000000044,0,0.012314338287791557,1.0340246408188676
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.9,0.93,0.008995817275553094,0.002490054982683683,0.0025609063549680436,0.12093936754565641,0.006206406232277048,0.9956061240700782,0.02871900314998486,0.9971621560177448,0.9791470246775501,1.0102605120273462,0.57368450387026,100,0.030000000000000027,0,0.00903687844523377,0.9954562662395517
