experiment,target,parameter,learner,learner_label,learner_model,quality_metric,method,method_label,confidence_level,coverage,avg_width,sd_ci_low,sd_ci_high,quality_value_mean,quality_value_sd,relative_width_rep_mean,relative_width_rep_sd,relative_width_rep_median,relative_width_rep_q25,relative_width_rep_q75,median_lambda,n_success,coverage_error,n_failed,classic_avg_width,relative_width
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.96,0.009443027207269966,0.0021212039772704615,0.002180717015753961,0.12093936754565641,0.006206406232277048,0.8772737548450656,0.02967260814712804,0.8807732283532066,0.8576605082132391,0.8970845777314213,,100,0.010000000000000009,0,0.010768104830185634,0.8769442122070403
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.95,0.07,0.002084808254264214,0.0074720832390628615,0.007610534114079918,0.12093936754565641,0.006206406232277048,0.1937269943313942,0.022336120914552372,0.19091530451230718,0.17953545654936898,0.21068804193003007,,100,-0.8799999999999999,0,0.010768104830185634,0.1936095800646355
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi,PPI,0.95,0.96,0.011134485729332615,0.002639424044519917,0.0027728240581277805,0.12093936754565641,0.006206406232277048,1.034288102182441,0.04313481606938911,1.037180293095945,1.0048700768669492,1.0575107440003273,,100,0.010000000000000009,0,0.010768104830185634,1.0340246408188676
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.98,0.010719252117833856,0.002485016497691262,0.0025690630114404657,0.12093936754565641,0.006206406232277048,0.9956135790599909,0.028715783700515394,0.9971695345621995,0.9789833683740776,1.0102459295607922,,100,0.030000000000000027,0,0.010768104830185634,0.995463202381274
c_glm,income_threshold_logistic,age,dt,DT,Decision Tree Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.97,0.0107229184748546,0.0025073974506237265,0.0026149839131466555,0.12093936754565641,0.006206406232277048,0.9959069563462396,0.02697576848361785,0.9973104002309415,0.9794277262889852,1.0109823310059691,0.55,100,0.020000000000000018,0,0.010768104830185634,0.9958036854169207
c_glm,income_threshold_logistic,age,gb,GB,Histogram Gradient Boosting Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.98,0.008819917356975935,0.0020183477249024447,0.0020714452351462604,0.10691323292771726,0.0039824806191259676,0.8193474380889186,0.025229709399063268,0.8197759135581579,0.803802978674538,0.8371189593154049,,100,0.030000000000000027,0,0.010768104830185634,0.8190779618203147
c_glm,income_threshold_logistic,age,gb,GB,Histogram Gradient Boosting Classifier,Brier,naive_ml,Naive ML,0.95,0.15,0.002343451804847616,0.005452913022472327,0.005504213163241843,0.10691323292771726,0.0039824806191259676,0.21770577994102905,0.011745606082049736,0.2161504927441457,0.210113060350407,0.22490775378713834,,100,-0.7999999999999999,0,0.010768104830185634,0.21762899245541767
c_glm,income_threshold_logistic,age,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi,PPI,0.95,0.98,0.010291246335411777,0.0021395475039028876,0.0022467916314384967,0.10691323292771726,0.0039824806191259676,0.9560203028305798,0.0364154326604156,0.9560397462363667,0.9322343994212954,0.9767421240207548,,100,0.030000000000000027,0,0.010768104830185634,0.9557156526339615
c_glm,income_threshold_logistic,age,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.98,0.01013793812963806,0.002144036196625466,0.002224784711876838,0.10691323292771726,0.0039824806191259676,0.9416984777453044,0.028108730383607252,0.9432551990633018,0.9256127601709211,0.9585725248731607,,100,0.030000000000000027,0,0.010768104830185634,0.94147840214361
c_glm,income_threshold_logistic,age,gb,GB,Histogram Gradient Boosting Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.98,0.010118683539455412,0.0021318142188982286,0.00222020541819494,0.10691323292771726,0.0039824806191259676,0.9398877552499871,0.02584897240283564,0.9419859326458402,0.9238380550759844,0.955048840618332,0.7625,100,0.030000000000000027,0,0.010768104830185634,0.9396902889624797
c_glm,income_threshold_logistic,age,lin,LIN,Logistic Regression,Brier,cross_ppi,Cross-PPI,0.95,0.97,0.009300742886560525,0.002295490741973705,0.0023408678866310047,0.10766246222498528,0.0031761281915587878,0.8639616846984048,0.024175477630168876,0.8647747175757976,0.850604506528408,0.8798096639462132,,100,0.020000000000000018,0,0.010768104830185634,0.8637307152218899
c_glm,income_threshold_logistic,age,lin,LIN,Logistic Regression,Brier,naive_ml,Naive ML,0.95,0.18,0.001937334080358169,0.005073931400033729,0.00509807371428292,0.10766246222498528,0.0031761281915587878,0.18003851627214235,0.024211966367347418,0.18976595741392793,0.15472103121636083,0.19887132663355658,,100,-0.77,0,0.010768104830185634,0.1799141177496106
c_glm,income_threshold_logistic,age,lin,LIN,Logistic Regression,Brier,ppi,PPI,0.95,0.98,0.010509626853554312,0.0025041984650628307,0.0025497384620130166,0.10766246222498528,0.0031761281915587878,0.9762471901873243,0.03360420373909147,0.9768658814281362,0.9566136612487227,0.995718640387212,,100,0.030000000000000027,0,0.010768104830185634,0.9759959639409578
c_glm,income_threshold_logistic,age,lin,LIN,Logistic Regression,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.98,0.010449075483029986,0.002469209787970039,0.002507304591257779,0.10766246222498528,0.0031761281915587878,0.9705884089775172,0.028635086687702583,0.9719451663868897,0.9537915722371253,0.9867789874240368,,100,0.030000000000000027,0,0.010768104830185634,0.9703727487624999
c_glm,income_threshold_logistic,age,lin,LIN,Logistic Regression,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.98,0.010442005578261361,0.0024546673349093644,0.002496375669249194,0.10766246222498528,0.0031761281915587878,0.9699180465335556,0.027904290730594,0.9716830789951824,0.953295235989138,0.9860065763379324,0.875,100,0.030000000000000027,0,0.010768104830185634,0.9697161889611126
c_glm,income_threshold_logistic,age,reference,Reference,None,,classic,Classic,0.95,0.96,0.010768104830185634,0.0023681636013505613,0.0024945708806377418,,,1.0,0.0,1.0,1.0,1.0,,100,0.010000000000000009,0,0.010768104830185634,1.0
c_glm,income_threshold_logistic,age,rf,RF,Random Forest Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.96,0.009061882059115518,0.0020266702286777685,0.0020820265588500702,0.1151697280043753,0.004357954794779213,0.8417969640256746,0.02440328822539407,0.8420011877716872,0.8265517128891251,0.8579971052857996,,100,0.010000000000000009,0,0.010768104830185634,0.8415484620573942
c_glm,income_threshold_logistic,age,rf,RF,Random Forest Classifier,Brier,naive_ml,Naive ML,0.95,0.08,0.001645273350206108,0.004405329793084822,0.004433238120378624,0.1151697280043753,0.004357954794779213,0.1528448926233876,0.008502962381574929,0.15188783288471658,0.147694928501271,0.15898514210740677,,100,-0.87,0,0.010768104830185634,0.15279135708207484
c_glm,income_threshold_logistic,age,rf,RF,Random Forest Classifier,Brier,ppi,PPI,0.95,0.97,0.01068683383904516,0.00247916464704346,0.0025975551004309406,0.1151697280043753,0.004357954794779213,0.9927382620423418,0.03536329942729996,0.9895879406454251,0.9697041653063218,1.013839966521906,,100,0.020000000000000018,0,0.010768104830185634,0.9924526188756398
c_glm,income_threshold_logistic,age,rf,RF,Random Forest Classifier,Brier,ppi_plus_plus_v1,PPI++V1,0.95,0.97,0.010655952671498978,0.002455329728151219,0.0025564091418416937,0.1151697280043753,0.004357954794779213,0.9898063769315791,0.02880951177866099,0.9881096936066106,0.9720641133813127,1.0042627030002902,,100,0.020000000000000018,0,0.010768104830185634,0.9895847820526165
c_glm,income_threshold_logistic,age,rf,RF,Random Forest Classifier,Brier,ppi_plus_plus_v2,PPI++V2,0.95,0.97,0.010656610880918778,0.0024919836950794303,0.0025986348697290915,0.1151697280043753,0.004357954794779213,0.9898559479173725,0.0282249913630216,0.9881616506066746,0.9707103743263847,1.0070239217572485,0.725,100,0.020000000000000018,0,0.010768104830185634,0.9896459078895377
c_glm,income_threshold_logistic,education-num,dt,DT,Decision Tree Classifier,Brier,cross_ppi,Cross-PPI,0.95,0.98,0.06216646673980005,0.013167728943707793,0.014104392377822303,0.12093936754565641,0.006206406232277048,0.9309516445236748,0.02559411861829527,0.9273681761594816,0.9140014206230656,0.9490069081851008,,100,0.030000000000000027,0,0.06679218412687643,0.9307446305650149
c_glm,income_threshold_logistic,education-num,dt,DT,Decision Tree Classifier,Brier,naive_ml,Naive ML,0.95,0.03,0.01273964750527243,0.05106385652940274,0.052015421828655116,0.12093936754565641,0.006206406232277048,0.19086100394788866,0.02301889241012635,0.19020167163415866,0.17401766257860163,0.20796286269094857,,100,-0.9199999999999999,0,0.06679218412687643,0.19073560285246216
